in_DAKODA	L1_DKD	L2_DKD	Orig_Wert_deutscheBezeichnung	Orig_Wert_englischeBezeichnung	Orig_code_ISO	Orig_code_anderer	iso639_3_de	iso639_3_en	iso639_3_code	dominantWordOrder
ja	0	x	Esperanto	0	0	0	Esperanto	Esperanto	epo	unklar
ja	x	0	Krachi	0	0	0	Kratsche	Krache	kye	unklar
ja	0	x	Luxemburgisch	0	0	0	Luxemburgisch, Lëtzebuergesch	Luxembourgish; Letzeburgesch	ltz	unklar
ja	x	x	0	0	ang	0	Altenglisch	Old English	ang	unklar
ja	x	0	Berberisch	0	0	0	Judäo-Berber	Judeo-Berber	jbe	unklar
ja	x	x	Arabisch	Arabic	ara		Arabisch	Arabic	ara	unklar
ja	x	x	Armenisch	0	hye	0	Armenisch	Armenian	hye	unklar
ja	0	x	Malaiisch	0	0	0	Malaiisch	Malay (individual language)	mly	unklar
ja	0	x	0	0	kal	0	Grönländisch, Kalaallisut	Kalaallisut	kal	unklar
ja	x	0	Hokkien	0	0	0	0	0	0	unklar
ja	x	0	0	0	nde	0	Nord-Ndebele	Ndebele, North	nde	unklar
ja	x	0	0	Central Pashto	0	0	Zentral-Paschtu	Pashto, Central	pst	unklar
ja	x	0	0	Dari	0	0	Dari, afghanisches Persisch	Persian (Dari)	prs	SOV
ja	x	x	Weißrussisch	0	bel	0	Belarussisch	Belarusian	bel	no dominant order
ja	x	0	0	0	NA	0	0	0	0	unklar
ja	x	0	0	0	English/Chinese	0	0	0	0	unklar
ja	x	0	0	LAD	0	0	0	0	0	unklar
ja	x	0	0	not reported	0	0	0	0	0	unklar
ja	x	0	0	Other	0	0	0	0	0	unklar
ja	x	0	0	Russa	0	0	0	0	0	unklar
ja	x	0	0	Slavic background	0	0	0	0	0	unklar
ja	0	0	0	0	oen	0	0	0	0	unklar
ja	0	0	0	0	N/A	0	0	0	0	unklar
ja	0	0	0	0	na	0	0	0	0	unklar
ja	0	x	0	0	cym	0	Walisisch	Welsh	cym	VSO
ja	x	x	0	0	gle	0	Irisch	Irish	gle	VSO
ja	0	x	0	0	cym	0	Walisisch	Welsh	cym	VSO
ja	x	0	0	Standard Arabic	0	0	Arabisch (Standard)	Arabic (standard)	arb	VSO
nein	0	0	0	0	0	0	Dari (Persian)	Dari (Persian)	prd	SOV
nein	0	0	0	0	0	0	0	0	0	SOV
nein	0	0	0	0	0	0	0	0	0	SOV
nein	0	0	0	0	0	0	0	0	0	SOV
nein	0	0	0	0	0	0	0	0	0	SOV
nein	0	0	0	0	0	0	0	0	0	SOV
nein	0	0	0	0	0	0	Dari, afghanisches Persisch	Persian (Dari)	prs	SOV
nein	0	0	0	0	0	0	0	0	0	SOV or SVO
nein	0	0	0	0	0	0	0	0		SVO
nein	0	0	0	0	0	0	0	0	0	SVO
nein	0	0	0	0	0	0	0	0	0	SVO
nein	0	0	0	0	0	0	0	0	0	SVO
nein	0	0	0	0	0	0	0	0	0	SVO
nein	x	x	0	0	0	0	0	0	0	SVO
nein	0	0	0	0	0	0	0	0	0	SVO
nein	0	0	0	0	0	0	0	0	0	SVO or VSO
nein	0	0	0	0	0	0	0	0	0	SVO or VSO
nein	0	0	0	0	0	0	Min Nan	Min Nan Chinese	nan	unklar
nein	0	0	0	0	0	0	0	0		VSO
nein	0	0	0	0	0	0	0	0		VSO
nein	0	0	0	0	0	0	0	0	0	VSO
